,RANK,PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
0,1,MikeTrout,CF,LAA,140,471,101,147,24,4,39,79,122,124,24,2,.312,.460,.628,1.088
1,2,MookieBetts,RF,BOS,136,520,129,180,47,5,32,80,81,91,30,6,.346,.438,.640,1.078
2,3,J.D.Martinez,DH,BOS,150,569,111,188,37,2,43,130,69,146,6,1,.330,.402,.629,1.031
3,4,ChristianYelich,LF,MIL,147,574,118,187,34,7,36,110,68,135,22,4,.326,.402,.598,1.000
4,5,JoséRamírez,3B,CLE,157,578,110,156,38,4,39,105,106,80,34,6,.270,.387,.552,.939
5,6,NolanArenado,3B,COL,156,590,104,175,38,2,38,110,73,122,2,2,.297,.374,.561,.935
6,7,AlexBregman,3B,HOU,157,594,105,170,51,1,31,103,96,85,10,4,.286,.394,.532,.926
7,8,PaulGoldschmidt,1B,AZ,158,593,95,172,35,5,33,83,90,173,7,4,.290,.389,.533,.922
8,9,TrevorStory,SS,COL,157,598,88,174,42,6,37,108,47,168,27,6,.291,.348,.567,.915
9,10,AnthonyRendon,3B,WSH,136,529,88,163,44,2,24,92,55,82,2,1,.308,.374,.535,.909
10,11,MannyMachado,SS,LAD,162,632,84,188,35,3,37,107,70,104,14,2,.297,.367,.538,.905
11,12,MattCarpenter,1B,STL,156,564,111,145,42,0,36,81,102,158,4,1,.257,.374,.523,.897
12,13,FreddieFreeman,1B,ATL,162,618,94,191,44,4,23,98,76,132,10,3,.309,.388,.505,.893
13,14,EugenioSuárez,3B,CIN,143,527,79,149,22,2,34,104,64,142,1,1,.283,.366,.526,.892
14,15,JesúsAguilar,1B,MIL,149,492,80,135,25,0,35,108,58,143,0,0,.274,.352,.539,.891
15,16,BryceHarper,RF,WSH,159,550,103,137,34,0,34,100,130,169,13,3,.249,.393,.496,.889
16,17,BrandonNimmo,RF,NYM,140,433,77,114,28,8,17,47,80,140,9,6,.263,.404,.483,.887
17,18,XanderBogaerts,SS,BOS,136,513,72,148,45,3,23,103,55,102,8,2,.288,.360,.522,.882
18,19,JavierBáez,2B,CHC,160,606,101,176,40,9,34,111,29,167,21,9,.290,.326,.554,.880
19,20,KhrisDavis,DH,OAK,151,576,98,142,28,1,48,123,59,175,0,0,.247,.326,.549,.875
20,21,FranciscoLindor,SS,CLE,158,661,129,183,42,2,38,92,70,107,25,10,.277,.352,.519,.871
21,22,DavidPeralta,LF,AZ,146,560,75,164,25,5,30,87,48,124,4,0,.293,.352,.516,.868
22,23,MattChapman,3B,OAK,145,547,100,152,42,6,24,68,58,146,1,2,.278,.356,.508,.864
23,24,CharlieBlackmon,CF,COL,156,626,119,182,31,7,29,70,59,134,12,4,.291,.358,.502,.860
24,25,MitchHaniger,RF,SEA,157,596,90,170,38,4,26,93,70,148,8,2,.285,.366,.493,.859
25,26,MiguelAndujar,3B,NYY,149,573,83,170,47,2,27,92,25,97,2,1,.297,.328,.527,.855
26,27,NickCastellanos,RF,DET,157,620,88,185,46,5,23,89,49,151,2,1,.298,.354,.500,.854
27,28,GiancarloStanton,DH,NYY,158,617,102,164,34,1,38,100,70,211,5,0,.266,.343,.509,.852
28,29,NelsonCruz,DH,SEA,144,519,70,133,18,1,37,97,55,122,1,0,.256,.342,.509,.851
29,30,RhysHoskins,LF,PHI,153,558,89,137,38,0,34,96,87,150,5,3,.246,.354,.496,.850
30,31,ScooterGennett,2B,CIN,154,584,86,181,30,3,23,92,42,125,4,2,.310,.357,.490,.847
31,32,AnthonyRizzo,1B,CHC,153,566,74,160,29,1,25,101,70,80,6,4,.283,.376,.470,.846
32,33,GregoryPolanco,RF,PIT,130,461,75,117,32,6,23,81,61,117,12,2,.254,.340,.499,.839
33,34,JoseAltuve,2B,HOU,137,534,84,169,29,2,13,61,55,79,17,4,.316,.386,.451,.837
34,35,JoeyVotto,1B,CIN,145,503,67,143,28,2,12,67,108,101,2,0,.284,.417,.419,.836
35,36,AaronHicks,CF,NYY,137,480,90,119,18,3,27,79,90,111,11,2,.248,.366,.467,.833
36,37,MichaelBrantley,LF,CLE,143,570,89,176,36,2,17,76,48,60,12,3,.309,.364,.468,.832
37,38,AndrewBenintendi,LF,BOS,148,579,103,168,41,6,16,87,71,106,21,3,.290,.366,.465,.831
38,38,TommyPham,LF,TB,137,494,102,136,18,6,21,63,67,140,15,7,.275,.367,.464,.831
39,40,DidiGregorius,SS,NYY,134,504,89,135,23,5,27,86,48,69,10,6,.268,.335,.494,.829
40,41,TravisShaw,3B,MIL,152,498,73,120,23,0,32,86,78,108,5,2,.241,.345,.480,.825
