,RANK,PLAYER,YEAR,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
0,1,BarryBonds,LF,2004,SF,147,373,129,135,27,3,45,101,232,41,6,1,.362,.609,.812,1.421
1,2,BarryBonds,LF,2002,SF,143,403,117,149,31,2,46,110,198,47,9,2,.370,.582,.799,1.381
2,3,BabeRuth,RF,1920,NYY,142,458,158,172,36,9,54,137,150,80,14,14,.376,.532,.847,1.379
3,4,BarryBonds,LF,2001,SF,153,476,129,156,32,2,73,137,177,93,13,3,.328,.515,.863,1.378
4,5,BabeRuth,LF,1921,NYY,152,540,177,204,44,16,59,171,145,81,17,13,.378,.512,.846,1.358
5,6,BabeRuth,RF,1923,NYY,152,522,151,205,45,13,41,131,170,93,17,21,.393,.545,.764,1.309
6,7,TedWilliams,LF,1941,BOS,143,456,135,185,33,3,37,120,145,27,2,4,.406,.551,.735,1.286
7,8,BarryBonds,LF,2003,SF,130,390,111,133,22,1,45,90,148,58,7,0,.341,.529,.749,1.278
8,9,BabeRuth,RF,1927,NYY,151,540,158,192,29,8,60,164,137,89,7,6,.356,.486,.772,1.258
9,10,TedWilliams,LF,1957,BOS,132,420,96,163,28,1,38,87,119,43,0,1,.388,.526,.731,1.257
10,11,BabeRuth,LF,1926,NYY,152,495,139,184,30,5,47,146,144,76,11,9,.372,.516,.737,1.253
11,12,BabeRuth,RF,1924,NYY,153,529,143,200,39,7,46,121,142,81,9,13,.378,.513,.739,1.252
12,13,RogersHornsby,2B,1925,STL,138,504,133,203,41,10,39,143,83,39,5,3,.403,.489,.756,1.245
13,14,LouGehrig,1B,1927,NYY,155,584,149,218,52,18,47,175,109,84,10,8,.373,.474,.765,1.239
14,15,BabeRuth,RF,1930,NYY,145,518,150,186,28,9,49,153,136,61,10,10,.359,.493,.732,1.225
15,16,MarkMcGwire,1B,1998,STL,155,509,130,152,21,0,70,147,162,155,1,0,.299,.470,.752,1.222
16,17,JimmieFoxx,1B,1932,PHA,154,585,151,213,33,9,58,169,116,96,3,7,.364,.469,.749,1.218
17,18,FrankThomas,1B,1994,CWS,113,399,106,141,34,1,38,101,109,61,2,3,.353,.487,.729,1.216
18,19,RogersHornsby,2B,1924,STL,143,536,121,227,43,14,25,94,89,32,5,12,.424,.507,.696,1.203
19,20,JeffBagwell,1B,1994,HOU,110,400,104,147,32,2,39,116,65,65,15,4,.368,.451,.750,1.201
20,21,MarkMcGwire,1B,1996,OAK,130,423,104,132,21,0,52,113,116,112,0,0,.312,.467,.730,1.197
21,22,HughDuffy,X,1894,BSN,125,539,160,237,51,16,18,145,66,15,48,--,.440,.502,.694,1.196
22,23,BabeRuth,RF,1931,NYY,145,534,149,199,31,3,46,163,128,51,5,4,.373,.495,.700,1.195
23,24,LouGehrig,1B,1930,NYY,154,581,143,220,42,17,41,174,101,63,12,14,.379,.473,.721,1.194
24,25,JuanSoto,LF,2020,WSH,47,154,39,54,14,0,13,37,41,28,6,2,.351,.490,.695,1.185
25,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌
